String,CMC,pCMC,Temperature,Class
CCCCCCCCCCCCC(C(=O)[O-])[N+]1=CC=CC=C1,0.0006,0.22184874961635637,25.0,Zwitterionic
CCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.006900000000000001,-0.8388490907372553,20.0,Nonionic
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.0018,-0.25527250510330607,25.0,Nonionic
CCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0046,-0.6627578316815741,20.0,Anionic
CCCCCCCCOCCOCCOCCOCCO,0.0092,-0.9637878273455552,25.0,Nonionic
CCCCCCCCCCCCCC(=O)NC(C(=O)[O-]).[Na+],0.00020999999999999998,0.6777807052660807,25.0,Anionic
CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-],0.0068,-0.8325089127062363,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CC(=O)O.[Cl-],0.00198,-0.2966651902615311,23.0,Cationic
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.016399999999999998,-1.2148438480476977,25.0,Cationic
CCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0.00242,-0.38381536598043126,20.0,Nonionic
CCCCCCCCSC1C(C(C(C(O1)CO)O)O)O,0.0087,-0.9395192526186185,25.0,Nonionic
CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,0.000419,0.3777859770337047,25.0,Nonionic
CCCCCCCCCCSCC(O)C(O)C(O)CO,0.0004,0.3979400086720376,20.0,Nonionic
CCCCCCCCCCCC[NH+](CCO)(CCO).[Cl-],0.0356,-1.5514499979728753,25.0,Cationic
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.0035,-0.5440680443502757,25.0,Cationic
CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.039,-1.591064607026499,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CCCCC(=O)[O-],0.0034,-0.5314789170422551,25.0,Zwitterionic
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.054,-1.7323937598229686,25.0,Nonionic
CCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.021,-1.3222192947339193,25.0,Cationic
CCCCCCCCCC(=O)OCCCS(=O)(=O)[O-].[Na+],0.019100000000000002,-1.2810333672477277,20.0,Anionic
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Li+],0.0045,-0.6532125137753437,25.0,Anionic
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],0.00795,-0.9003671286564703,20.0,Anionic
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],0.0123,-1.089905111439398,20.0,Anionic
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0020499999999999997,-0.31175386105575426,25.0,Anionic
CCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],0.0158,-1.1986570869544226,20.0,Anionic
CCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],0.00453,-0.6560982020128319,20.0,Anionic
