String,CMC,pCMC,Temperature,Class
CCCCCCCCCCCCC(=O)[O-].[K+],0.028973435877013228,1.538,40.0,Anionic
CCCCCCCCCCCCCCC(=O)[O-].[K+],0.007294575102545687,2.137,40.0,Anionic
CCCCCCCCCCCCCCCCC(=O)[O-].[K+],0.0017988709151287874,2.745,40.0,Anionic
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.1798870915128788,0.745,40.0,Anionic
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],0.02890679882365476,1.539,40.0,Anionic
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],0.08298507675144226,1.081,40.0,Anionic
CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.006501296903430909,2.187,40.0,Anionic
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],0.01931968317016924,1.714,40.0,Anionic
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],7.943282347242822e-05,4.1,40.0,Anionic
CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.003097419299216581,2.509,40.0,Anionic
CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0011994993031493794,2.921,40.0,Anionic
CCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0031622776601683794,2.5,40.0,Anionic
CCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.003981071705534973,2.4,40.0,Anionic
CCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.005011872336272725,2.3,40.0,Anionic
CCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.005623413251903491,2.25,40.0,Anionic
CCCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0026915348039269166,2.57,40.0,Anionic
CCCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.001,3.0,40.0,Anionic
CCCCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0012589254117941675,2.9,40.0,Anionic
CCCCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0016595869074375613,2.78,40.0,Anionic
CCCCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.001995262314968879,2.7,40.0,Anionic
CCCCCCC(CCCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0025118864315095794,2.6,40.0,Anionic
CCCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0004073802778041126,3.39,40.0,Anionic
CCCCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0005248074602497728,3.28,40.0,Anionic
CCCCCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.000707945784384138,3.15,40.0,Anionic
CCCCCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0008912509381337459,3.05,40.0,Anionic
CCCCCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0012589254117941675,2.9,40.0,Anionic
CCCCCCCC(CCCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.001584893192461114,2.8,40.0,Anionic
CCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.011874080803829503,1.9254,40.0,Anionic
CCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0016409675764496256,2.7849,40.0,Anionic
CCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],0.0013418377322533719,2.8723,40.0,Anionic
CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0008214856851283273,3.0854,40.0,Anionic
CCCCCCCCCCCCCCOCCOCCOCCOCOS(=O)(=O)[O-].[Na+],0.0006678824013665395,3.1753,40.0,Anionic
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0002301441817408509,3.638,40.0,Anionic
CCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],0.04875284901033863,1.312,40.0,Anionic
CCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],0.01309181922999407,1.883,40.0,Anionic
CCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],0.0029991625189876503,2.523,40.0,Anionic
CCCC(CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.019860949173573717,1.702,40.0,Anionic
CCCC(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.003176874070649769,2.498,40.0,Anionic
CCCC(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.00038018939632056124,3.42,40.0,Anionic
CCCCCC(CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.007227698036021702,2.141,40.0,Anionic
CCCCCC(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.0009527961640236521,3.021,40.0,Anionic
CCCCCC(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.00012705741052085418,3.896,40.0,Anionic
CCCCCCCC(CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.003258367010020087,2.487,40.0,Anionic
CCCCCCCC(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],0.0003971915494694405,3.401,40.0,Anionic
CCCCCCCC(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)[O-].[Na+],5.559042572704037e-05,4.255,40.0,Anionic
CC(C)CCCCCC(C1=CC=CC=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(O)(O)=O,0.01599558028614669,1.796,40.0,Anionic
CC(C)CCCCCC(C1=CC=CC=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(O)(O)=O,0.016982436524617443,1.77,40.0,Anionic
CC(C)CCCCCC(C1=CC=CC=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(O)(O)=O,0.017988709151287873,1.745,40.0,Anionic
CO[C@H]1[C@@H](C([C@@H]([C@H](O1)OS(=O)([O-])=O)O)O)NC(CCCCCCC)=O.[Na+],0.025003453616964308,1.602,40.0,Anionic
CO[C@H]1[C@@H](C([C@@H]([C@H](O1)OS(=O)([O-])=O)O)O)NC(CCCCCCCCCCC)=O.[Na+],0.0016982436524617442,2.77,40.0,Anionic
CO[C@H]1[C@@H](C([C@@H]([C@H](O1)OS(=O)([O-])=O)O)O)NC(CCCCCCCCCCCCCCC)=O.[Na+],0.0016982436524617442,2.77,40.0,Anionic
CCCCCCCCCCCCOC(=O)C(CC1=CC=CC=C1)NC(=O)S(=O)(=O)[O-].[Na+],0.015240527537972915,1.817,40.0,Anionic
CCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],0.0015240527537972906,2.817,40.0,Anionic
CCCCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],0.0003589219346450053,3.445,40.0,Anionic
CCCCCCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],6.85488226452662e-05,4.164,40.0,Anionic
CCCCCCCCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],1.7418068733916126e-05,4.759,40.0,Anionic
CCCCCCCCCCCCCCOC(=O)C(C)NC(=O)C2=CC=CC=C2S(=O)(=O)[O-].[Na+],0.0004456562483975033,3.351,40.0,Anionic
CCCCCCS(=O)(=O)[O-].[Na+],0.31915378551007617,0.496,40.0,Anionic
CCCCCCCCS(=O)(=O)[O-].[Na+],0.15995580286146688,0.796,40.0,Anionic
CCCCCCCCCCS(=O)(=O)[O-].[Na+],0.03999447497610976,1.398,40.0,Anionic
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.010990058394325208,1.959,40.0,Anionic
CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.003793149849736821,2.421,40.0,Anionic
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.002500345361696432,2.602,40.0,Anionic
CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.0007261059574351551,3.139,40.0,Anionic
CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.0007396052750582382,3.131,40.0,Anionic
CCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.00023173946499684798,3.635,40.0,Anionic
CCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],0.013001695780332907,1.886,40.0,Anionic
CCCCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],0.0026977394324449204,2.569,40.0,Anionic
CCCCCCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],0.0006095368972401694,3.215,40.0,Anionic
CCCCCCCCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],0.00017988709151287873,3.745,40.0,Anionic
CCCCCCCCCCC(C)S(=O)(=O)[O-].[Na+],0.014893610777109155,1.827,40.0,Anionic
CCCCCCCCC(CC)S(=O)(=O)[O-].[Na+],0.018620871366628676,1.73,40.0,Anionic
CCCCCCCCC(CCC)S(=O)(=O)[O-].[Na+],0.023173946499684784,1.635,40.0,Anionic
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],0.02831391995799379,1.548,40.0,Anionic
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],0.03614098626396133,1.442,40.0,Anionic
CCCCCCCC(CCCCCCC)S(=O)(=O)[O-].[Na+],0.007177942912713615,2.144,40.0,Anionic
CCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.02618183008218985,1.582,40.0,Anionic
CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.01238796586530369,1.907,40.0,Anionic
CCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.010789467222298286,1.967,40.0,Anionic
CCCCCCCCC(C)C1=CCC(C=C1)S(=O)(=O)[O-].[Na+],0.0049773708497893605,2.303,40.0,Anionic
CCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.00630957344480193,2.2,40.0,Anionic
CCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.008974287945007481,2.047,40.0,Anionic
CCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0019010782799232997,2.721,40.0,Anionic
CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.002032357010936221,2.692,40.0,Anionic
CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.002477422057633286,2.606,40.0,Anionic
CCCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0019010782799232997,2.721,40.0,Anionic
CCCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.002600159563165272,2.585,40.0,Anionic
CCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0006194410750767811,3.208,40.0,Anionic
CCCCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0002648500138606701,3.577,40.0,Anionic
CCCCCCCCOS(=O)(=O)[O-].[Na+],0.13995873225726183,0.854,40.0,Anionic
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.03303695410368147,1.481,40.0,Anionic
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.016481623915255084,1.783,40.0,Anionic
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.008590135215053961,2.066,40.0,Anionic
CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.004295364267648873,2.367,40.0,Anionic
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0021978598727848252,2.658,40.0,Anionic
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0011994993031493794,2.921,40.0,Anionic
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0005794286964268809,3.237,40.0,Anionic
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.00015995580286146696,3.796,40.0,Anionic
CCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.04698941086052153,1.328,40.0,Anionic
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.003303695410368149,2.481,40.0,Anionic
CCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],0.004295364267648873,2.367,40.0,Anionic
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],0.005152286445817567,2.288,40.0,Anionic
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],0.006745280276979223,2.171,40.0,Anionic
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],0.009705099672454899,2.013,40.0,Anionic
CCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.001710015315090288,2.767,40.0,Anionic
CCCCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],0.0021978598727848252,2.658,40.0,Anionic
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],0.0033962527259040853,2.469,40.0,Anionic
CCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],0.006652731562017413,2.177,40.0,Anionic
CCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],0.001721868574986008,2.764,40.0,Anionic
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],0.0023496328208483072,2.629,40.0,Anionic
CCCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],0.00424619563946313,2.372,40.0,Anionic
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.0004897788193684461,3.31,40.0,Anionic
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],0.0023496328208483072,2.629,40.0,Anionic
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.0002600159563165272,3.585,40.0,Anionic
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],0.000449779854893288,3.347,40.0,Anionic
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],0.0007194489780036999,3.143,40.0,Anionic
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],0.0009397233105646375,3.027,40.0,Anionic
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],0.0003303695410368149,3.481,40.0,Anionic
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],0.0007998342550070284,3.097,40.0,Anionic
CCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],0.0008994975815300356,3.046,40.0,Anionic
CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],0.0010990058394325208,2.959,40.0,Anionic
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],0.0014996848355023741,2.824,40.0,Anionic
CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],0.0019998618696327446,2.699,40.0,Anionic
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],0.002301441817408509,2.638,40.0,Anionic
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],0.0029991625189876503,2.523,40.0,Anionic
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],0.0040179081084894,2.396,40.0,Anionic
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.002798981319634363,2.553,40.0,Anionic
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],0.02477422057633285,1.606,40.0,Anionic
CCCCCCCCCC(OC)CCS(=O)(=O)[O-].[Na+],0.007620790100254122,2.118,40.0,Anionic
CCCCCCCCCC(OCC)CCS(=O)(=O)[O-].[Na+],0.005000345349769783,2.301,40.0,Anionic
CCCCCCCCCC(OCCC)CCS(=O)(=O)[O-].[Na+],0.0038018939632056127,2.42,40.0,Anionic
CCCCCCCCCC(OC(C)C)CCS(=O)(=O)[O-].[Na+],0.0034833731503601164,2.458,40.0,Anionic
CCCCCCCCCC(OCCCC)CCS(=O)(=O)[O-].[Na+],0.0015240527537972906,2.817,40.0,Anionic
CCCCCCCCCC(OCCCCCC)CCS(=O)(=O)[O-].[Na+],0.0006531305526474723,3.185,40.0,Anionic
CCCCCCCCCC(OCCCCCCCC)CCS(=O)(=O)[O-].[Na+],0.00011967405313072431,3.922,40.0,Anionic
CCCCCCCCCC(OCC(CC)CCCC)CCS(=O)(=O)[O-].[Na+],0.0003155004623374627,3.501,40.0,Anionic
CCCCCCCCCC(OC1=CC=C(C=C1))CCS(=O)(=O)[O-].[Na+],0.0019588446735059888,2.708,40.0,Anionic
CCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],0.028773984147356695,1.541,40.0,Anionic
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],0.006324118513762197,2.199,40.0,Anionic
CCCCCCCCCCCC(OCCO)CCS(=O)(=O)[O-].[Na+],0.0003589219346450053,3.445,40.0,Anionic
CCCCCCCCCCCC(OCCOCC)CCS(=O)(=O)[O-].[Na+],0.0011967405313072432,2.922,40.0,Anionic
CCCCCCCCCCCC(OC1=CC=C(C=C1))CCS(=O)(=O)[O-].[Na+],0.000228559880337543,3.641,40.0,Anionic
CCCCCCCCCCCC(OC1=C(Cl)C=C(Cl)C=C1Cl)CCS(=O)(=O)[O-].[Na+],1.6330519478943346e-05,4.787,40.0,Anionic
CCCCCCCCCCCC(N(C)(C))CCS(=O)(=O)[O-].[Na+],0.0010864256236170656,2.964,40.0,Anionic
CCCCCCCCCCCC(NCCC)CCS(=O)(=O)[O-].[Na+],0.000630957344480193,3.2,40.0,Anionic
CCCCCCCCCCCC(NCCCC)CCS(=O)(=O)[O-].[Na+],0.0001958844673505989,3.708,40.0,Anionic
CCCCCCCCCCCC(N1CCOCC1)CCS(=O)(=O)[O-].[Na+],0.000783429642766212,3.106,40.0,Anionic
CCCCCCCCCCCC(N1CCCCC1)CCS(=O)(=O)[O-].[Na+],0.0004897788193684461,3.31,40.0,Anionic
CCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],0.0066988460941652655,2.174,40.0,Anionic
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],0.0014487718535447617,2.839,40.0,Anionic
CCCCCCCCCCCCCC(OC)CCS(=O)(=O)[O-].[Na+],0.0003372873086588689,3.472,40.0,Anionic
CCCCCCCCCCCCCC(OCCC)CCS(=O)(=O)[O-].[Na+],8.147042840208389e-05,4.089,40.0,Anionic
CCCCCCCCCCCCCC(OCCCC)CCS(=O)(=O)[O-].[Na+],3.4833731503601165e-05,4.458,40.0,Anionic
CCCCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],0.0018407720014689563,2.735,40.0,Anionic
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],0.0008994975815300356,3.046,40.0,Anionic
CCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],0.010327614057613975,1.986,40.0,Anionic
CCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],0.0026121613543992053,2.583,40.0,Anionic
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],0.00039994474976109734,3.398,40.0,Anionic
CCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],0.0003097419299216581,3.509,40.0,Anionic
CCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],0.00010864256236170655,3.964,40.0,Anionic
CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],0.0001,4.0,40.0,Anionic
CCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],7.83429642766212e-05,4.106,40.0,Anionic
CCCCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],1.2618275345906706e-05,4.899,40.0,Anionic
CCCCCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],0.00038018939632056124,3.42,40.0,Anionic
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],0.016330519478943345,1.787,40.0,Anionic
CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],0.016330519478943345,1.787,40.0,Anionic
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],0.003698281797802663,2.432,40.0,Anionic
CCCCCCOC(=O)S(=O)(=O)[O-].[Na+],0.18492686189780783,0.733,40.0,Anionic
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],0.07177942912713618,1.144,40.0,Anionic
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],0.023933157564053877,1.621,40.0,Anionic
CCCCCCCCCCCCCCCCC(C(=O)OC(C)C)S(=O)(=O)[O-].[Na+],2.6977394324449205e-05,4.569,40.0,Anionic
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.0027164392688390836,2.566,40.0,Anionic
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],0.21727011788637443,0.663,40.0,Anionic
CCCCCOC(=O)CC(C(=O)CCCCC)S(=O)(=O)[O-].[Na+],0.05767664633922506,1.239,40.0,Anionic
CCCCCCOC(CC(S(=O)([O-])=O)C(OCCCCCC)=O)=O.[Na+],0.015240527537972915,1.817,40.0,Anionic
CCCCCCCCOC(CC(S(=O)([O-])=O)C(OCCCCCCCC)=O)=O.[Na+],0.0007396052750582382,3.131,40.0,Anionic
O=C(NC(C(C)C)C([O-])=O)CCCCCCCCCCCCCCC.[Na+],0.001900203002577232,2.7212,25.0,Anionic
O=C(NC(CC(C)C)C([O-])=O)CCCCCCCCCCCCCCC.[Na+],0.0015000301904559475,2.8239,25.0,Anionic
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],0.011000185275062212,1.9586,25.0,Anionic
CCCCCCCCCCCCS(=O)([O-])=O.[NH4+],0.008900204796255255,2.0506,25.0,Anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.[Li+],0.008900204796255255,2.0506,25.0,Anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.C[N+](C)(C)C,0.00550047252867634,2.2596,25.0,Anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.CCC[N+](CCC)(CCC)CCC,0.002199885109049249,2.6576,25.0,Anionic
CCCCCCCCCOCCS(=O)([O-])=O.[Na+],0.015900105282148646,1.7986,25.0,Anionic
CCCCCCCCCCCCOCCS(=O)(O[O-])=O.[Na+],0.0039003178447506565,2.4089,25.0,Anionic
CCCCCCCCCCCCOCCOCCS(=O)(O[O-])=O.[Na+],0.0029000133690540698,2.5376,25.0,Anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCS(=O)(O[O-])=O.[Na+],2.4997697021785076e-05,4.6021,25.0,Anionic
CCCCCCCCC(COCCOCCOCCOCCOCCS(=O)(O[O-])=O)CCCCCC.[Na+],8.600030668888555e-05,4.0655,25.0,Anionic
CCCCCCCCCCOC(CS(=O)([O-])=O)=O.[Na+],0.021998851090492492,1.6576,25.0,Anionic
CCCCOC(CC(S(=O)([O-])=O)C(OCCCC)=O)=O.[Na+],0.19998618696327444,0.699,25.0,Anionic
CCCCCOC(C(S(=O)([O-])=O)CC(OCCCCC)=O)=O.[Na+],0.053002944883579574,1.2757,25.0,Anionic
CCCCCCOC(CC(C(OCCCCCC)=O)S(=O)([O-])=O)=O.[Na+],0.013999096265683424,1.8539,25.0,Anionic
CCCCC(COC(CC(S(=O)([O-])=O)C(OCC(CCCC)CC)=O)=O)CC.[Na+],0.002499769702178508,2.6021,25.0,Anionic
CCCCCCCCOC(CC(C(OCCCCCCCC)=O)S(=O)([O-])=O)=O.[Na+],0.0009099132726322518,3.041,25.0,Anionic
CCCCCCCCCCCCC(S(=O)([O-])=O)C(OCC)=O.[Na+],0.002250090572279306,2.6478,25.0,Anionic
CCCCCCCCCCCCC(S(=O)([O-])=O)C(OCCCC)=O.[Na+],0.0013498950350559803,2.8697,25.0,Anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[K+],0.029000133690540685,1.5376,25.0,Anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],0.029998531811907935,1.5229,25.0,Anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Li+],0.03299894079108348,1.4815,25.0,Anionic
FC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],0.029998531811907935,1.5229,25.0,Anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Li+],0.004900044227932357,2.3098,25.0,Anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)([O-])=O.[Li+],0.006299411805485587,2.2007,25.0,Anionic
CCCCCCCCCCCC([O-])=O.[Na+],0.0029901983671705677,2.5243,25.0,Anionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCC([O-])=O.[Na+],0.0034897956743787455,2.4572,25.0,Anionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC([O-])=O.[Na+],0.005900651969956663,2.2291,25.0,Anionic
CCCCCCCCCC1=CC=C(C=C1)OCC(C)OCC(OCC(S(=O)(O[O-])=O)C)C.[Na+],5.9006519699566636e-05,4.2291,25.0,Anionic
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C=C1.[Na+],2.9998531811907933e-05,4.5229,25.0,Anionic
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(OCC(OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C)C)C=C1.[Na+],1.5999263828686003e-05,4.7959,25.0,Anionic
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(OCC(OCC(C)OCC(C)OCC(OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C)C)C)C=C1.[Na+],1.2000518202042658e-05,4.9208,25.0,Anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],0.0001480130473020823,3.8297,25.0,Anionic
